,name,price,Location,description
1,4 Bed House with En Suite at Manyanja Road,9500000.0,"4, Manyanja Road, Donholm",4 Bed Townhouse with Ensuite in Greenfields Est...
2,7 Bed House with En Suite at Lavington,130000000.0,Lavington,"House for sale in Lavington, owashika road. Wha..."
3,6 Bed House with En Suite in Garden Estate,130000000.0,"Garden Estate, Roysambu",6 BEDROOM HOUSE FOR SALE IN THOME- GARDEN ESTAT...
4,6 Bed Villa with En Suite in Kitisuru,110000000.0,"Kitisuru, Westlands",6 bedroom villa for sale in Kitisuru at  Kshs 1...
5,4 Bed Townhouse with En Suite at Langata,36900000.0,Langata,4 bedroom apartment for sale langata
6,4 Bed Townhouse with En Suite at Langata,31500000.0,Langata,4 bedroom townhouse for sale in langata
7,6 Bed Townhouse with En Suite at Karen,140000000.0,Karen,6 bedroom house for sale in karen Nairobi
8,5 Bed Townhouse with En Suite in Lavington,81000000.0,Lavington,5 Bedroom Townhouse for sale In Lavington with...
9,5 Bed Townhouse with En Suite in Lavington,55000000.0,Lavington,5 Bedroom Townhouse for sale In Lavington with...
10,4 Bed Townhouse with En Suite in Lavington,71000000.0,Lavington,4 Bedroom Townhouse for sale In Lavington with...
11,4 Bed Townhouse with En Suite in Lavington,30000000.0,Lavington,4 Bedroom Townhouse for sale In Lavington with...
12,4 Bed Villa with En Suite at Loresho,108000000.0,"Loresho, Westlands",Luxurious 4 Bedroom Villas for sale in Loresho
13,5 Bed House with En Suite at Roysambu,32000000.0,"0519n, roysambu, Roysambu Area, Roysambu",5-bedroom in roysambu
14,4 Bed House with En Suite at Safaripark,40000000.0,"safaripark, Thika Road",Exquisite 4-Bedroom House with DSQ for Sale – L...
15,3 Bed Townhouse with En Suite in Tatu City,36100000.0,"Tatu City, Ruiru",Three bedroom all Ensuite Town houses
16,5 Bed House with En Suite in Ruiru,11000000.0,Ruiru,"A 5-BEDROOM HOUSE FOR SALE IN MATANGI, RUIRU."
17,3 Bed House with Staff Quarters at Edenville Two,25800000.0,"Edenville Two, Kiambu Road",3 bedroom maisonette for sale
18,4 Bed Villa with En Suite in Kitisuru,60000000.0,"Kitisuru, Westlands",Luxurious Gateway – Four-Bedroom Villa for Sale...
19,3 Bed House with En Suite at Kitengela - Milimani,7500000.0,"Mazola II, Kitengela - Milimani, Kitengela",3 Bedroom Bungalow for Sale in Kitengela- Milim...
20,5 Bed House with En Suite in Runda,370000000.0,"Runda, Westlands",Exquisite 5-Bedroom New House for Sale in Runda
21,4 Bed Townhouse with Garden in Runda,63000000.0,"Runda, Westlands",4 bedroom spacious townhouse for sale in Runda
22,5 Bed House with En Suite in Spring Valley,90000000.0,"Spring Valley, Westlands",Charming Five Bedroom House with DSQ for Sale i...
23,5 Bed Villa with En Suite in Runda,90000000.0,"Runda, Westlands",5 Bedroom Villa For Sale
24,4 Bed Townhouse with En Suite in Ruiru,18500000.0,Ruiru,Newly built 4 bedroom house available for rent
25,4 Bed House with En Suite in Loresho,112500000.0,"Loresho, Westlands",Luxurious 4 bedroom Villa For Sale in Kitisuru
26,3 Bed House with En Suite at Muigai Estate,12500000.0,"Muigai Estate, Kitengela",3 bedroom bungalow for sale in kitengela
27,4 Bed House with En Suite at Ruiru,15000000.0,Ruiru,MOVE IN READY MAISONETTES
28,4 Bed Villa with En Suite in Westlands Area,96000000.0,"Westlands Area, Westlands",Loresho newly build A private enclave of 4-bedr...
29,5 Bed House in Thigiri,230000000.0,"Thigiri, Westlands",For Sale: 1-Acre Parcel in Thigiri
30,5 Bed House with En Suite at Kiganjo Road,22000000.0,"Ruiru, Kiganjo Road",Luxurious 5 Bedroom  All Ensuite Maisonettes in...
31,2 Bed House with En Suite in Rosslyn,115000000.0,"Rosslyn, Westlands",A lovely 2 bedroom property for sale in Rosslyn
32,4 Bed Townhouse with En Suite in Lavington,168000000.0,Lavington,spacious 4-bedroom townhouse
33,6 Bed Townhouse with En Suite in Lavington,220000000.0,Lavington,Modern Elegance in a Tranquil Setting
34,3 Bed House with En Suite at Ruiru - Kiganjo Road,13000000.0,"Ruiru - Kiganjo Road, Tatu City, Ruiru",3 Bedroom Bungalow All En-suite plus DSQ
35,5 Bed Townhouse with En Suite in Lavington,120000000.0,Lavington,Luxurious 5-Bedroom Townhouses for Sale in the...
36,5 Bed Townhouse with En Suite in Lavington,69000000.0,Lavington,Elegant 5-Bedroom Villa for Sale in Lavington
37,3 Bed House with En Suite at Kangundo Road,6000000.0,"Kangundo Road, Joska, Kamulu Joska Malaa",3 Bedroom for sale touching tarmac and in a gat...
38,5 Bed Townhouse with En Suite at Lavington Green,75000000.0,"Maziwa, Lavington green, Lavington",Contemporary beautiful 5 bedrooms villa plus fa...
39,5 Bed Townhouse with En Suite in Loresho,150000000.0,"Loresho, Westlands",Luxury 5 Bedrooms Home for Sale in Loresho
40,4 Bed House with En Suite in Ruiru,28000000.0,Ruiru,4 bedrooms Maisonette House for Sale in Ruiru i...
41,5 Bed Townhouse with En Suite at Kitisuru,277000000.0,"Kitisuru, Westlands",Exclusive 5-Bedroom Architectural Masterpiece f...
42,3 Bed Townhouse with En Suite at Lavington,26000000.0,Lavington,Modern 3-Bedroom Penthouse Apartment plus Dsq i...
43,5 Bed Townhouse with En Suite at Old Kitisuru,95000000.0,"Old Kitisuru, Kitisuru, Westlands",New & Modern 5 bedroom Townhouse for Sale
44,4 Bed House with En Suite at Old Runda,120000000.0,"Old Runda, Runda, Westlands",Spacious 4 bedroom Double-storey for SALE.
45,5 Bed House with En Suite at Thigiri,155000000.0,"Thigiri, Westlands",5 bedroom House for sale In Thigiri
46,5 Bed Townhouse with En Suite in Kiambu Road,32000000.0,Kiambu Road,A SPACIOUS 5BR HOUSE FOR SALE IN EDENVILLE
47,5 Bed Villa with En Suite at Lavington Green,75000000.0,"Maziwa, Lavington green, Lavington",Prestigiously designed 5 bedrooms townhouse plu...
48,5 Bed House with En Suite in Runda,140000000.0,"Runda, Westlands",5 bedroom house for sale in Runda
49,5 Bed House at Hardy,250000000.0,"Hardy, Karen",2.5 ACRE LAND WITH HOUSE AND SWIMMING POOL IN H...
50,5 Bed House with En Suite in Kitisuru,80000000.0,"Kitisuru, Westlands",Luxurious 5 bedroom house for sale in Kitisuru
51,5 Bed Townhouse with En Suite in Lavington,140000000.0,Lavington,Luxurious 5-Bedroom Townhouse for Sale – Laving...
52,3 Bed Townhouse with En Suite at Mtwapa,10000000.0,"mtwapa, Mtwapa",3 and 4 bedroom townhouse on going project on s...
53,5 Bed Townhouse with En Suite at Owashika Road,74000000.0,"Lavington, Nairobi, Owashika Road",Amazing  5-Bedroom Townhouse for Sale in the He...
54,5 Bed Townhouse with En Suite in Runda,95000000.0,"Runda, Westlands",Luxurious 5 bedroom house for sale in Runda
55,4 Bed House with En Suite at Migaa Golf Estate,22500000.0,"Centre Piece, Migaa Golf Estate, Kiambu Road",4 bedroom all ensuite for sale
56,5 Bed House with En Suite in Runda,165000000.0,"Runda, Westlands",AN EXECUTIVE 5BEDROOM DOUBLE STOREY HOUSE  FOR...
57,4 Bed Townhouse with En Suite in Kileleshwa,40000000.0,Kileleshwa,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR SALE IN KI...
58,4 Bed Townhouse with En Suite in Loresho,110000000.0,"Loresho, Westlands",AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR SALE IN LO...
59,4 Bed House with En Suite in Lavington,167000000.0,Lavington,Luxurious Smart Home 4-Bedroom Villas for Sale...
60,6 Bed House with En Suite in Lavington,93000000.0,Lavington,"Magnificent 6-bedroom townhouse, located within..."
61,4 Bed House with En Suite in Gikambura,14500000.0,"Gikambura, Kikuyu",4 Bedroom House for Sale at Gikambura Kikuyu
62,4 Bed Villa with En Suite at Syokimau,18000000.0,Syokimau,4 Bedroom Villas For Sale in Syokimau
63,7 Bed Villa with En Suite in Ridgeways,45000000.0,Ridgeways,7 bedroom house available for sale at Ridgeways
64,3 Bed Townhouse with En Suite at Thika Road,12850000.0,"Kenyatta Road, Thika Road",Spacious 3 bedrooms all Ensuite bungalows with...
65,4 Bed Townhouse with En Suite in Loresho,96000000.0,"Loresho, Westlands",Luxury 4 Bedroom Townhouse Living In Serene Lor...
66,4 Bed Townhouse with En Suite at Ngong Matasia,14500000.0,"Ngong Matasia, Ngong",4 Bedroom Mansion for Sale at Ngong Matasia
67,5 Bed Villa with En Suite in Loresho,108400000.0,"Loresho, Westlands",Luxury 5 bedroom Villa In Premier Gated Communi...
68,4 Bed Villa with En Suite in Lavington,75000000.0,Lavington,4 Bedrooms plus DSQ Villas for sale in Lavingto...
69,4 Bed Townhouse with En Suite at Loresho,96000000.0,"Loresho, Westlands",Luxurious Townhouses for Sale in Loresho
70,4 Bed Townhouse with En Suite in Runda,130000000.0,"Runda, Westlands",4 bedroom Townhouse  For Sale
71,5 Bed House with En Suite in Kitisuru,270000000.0,"Kitisuru, Westlands",Exquisite Five-Bedroom House for Sale in Kitisu...
72,5 Bed Townhouse with En Suite at Waiyaki Way,55000000.0,"Waiyaki way, Mountain View, Westlands",4 bedroom townhouse with sq in mt view
73,5 Bed Townhouse in Rhapta Road,60000000.0,"Rhapta Road, Westlands",For Sale: Spacious 5-Bedroom Townhouse – Off Rh...
74,5 Bed Townhouse with En Suite in Lavington,135000000.0,Lavington,🏡 Elegant 5-Bedroom All En-Suite Standalone Ho...
75,4 Bed Townhouse with En Suite in Syokimau,18000000.0,Syokimau,4 Bedroom All Ensuite Bedrooms + DSQ For Sale
76,3 Bed House with En Suite in Kitengela,6500000.0,Kitengela,Exclusive Bungalows For Sale In Kitengela
77,4 Bed House with En Suite at Ruiru,28000000.0,Ruiru,4 bedroom maisonette for sale in Ruiru
78,3 Bed House with En Suite at Kitengela,12500000.0,"Italy Lane, Muigai,Kitengela, Kitengela",Executive Bungalows in a Gated Community + DSQ
79,5 Bed Townhouse with En Suite in Syokimau,18000000.0,Syokimau,5 Bedroom Masionette 2 Bedrooms Ensuite Own com...
80,4 Bed Townhouse with En Suite at Loresho,108000000.0,"Loresho, Westlands",4 bedroom townhouse for sale in Loresho Westlan...
81,7 Bed House with En Suite in Karen,160000000.0,Karen,Modern 7 bedroom house for sale in Karen
82,5 Bed House with En Suite in Karen,110000000.0,Karen,Magnificent 5 bedroom all en suite house for sa...
83,6 Bed House with En Suite in Karen,130000000.0,Karen,Modern 6 bedroom house for sale in Karen
84,5 Bed House with En Suite in Karen,125000000.0,Karen,Magnificent 5 bedroom all en suite house for sa...
85,5 Bed House with En Suite in Karen,99000000.0,Karen,Magnificent 5 bedroom all en suite house for sa...
86,6 Bed House with En Suite in Karen,99000000.0,Karen,Magnificent 6 bedroom all en suite house for sa...
87,4 Bed House with En Suite in Karen,65000000.0,Karen,Spacious 4 bedroom villa for sale in Karen
88,4 Bed House with En Suite in Karen,55000000.0,Karen,4 bedroom villa for sale in Karen
89,4 Bed House with Garden in Changamwe,85000000.0,Changamwe,"4br house for sale in Mshomoroni, Tudor Creek,..."
90,5 Bed Townhouse with En Suite at Lavington,140000000.0,Lavington,5 bedroom townhouse for sale in Lavington Nairo...
91,4 Bed House with En Suite in Nyali Area,70000000.0,"Nyali Area, Nyali",4 bedroom house on half acre for sale in Old Ny...
92,5 Bed Townhouse with En Suite at Lavington,85000000.0,Lavington,5 bedroom townhouse for sale in Lavington
93,5 Bed Townhouse with En Suite at Lavington,70000000.0,Lavington,5 bedroom townhouse for sale in Lavington
94,3 Bed Townhouse with En Suite at Mtwapa,10000000.0,"mtwapa, Mombasa CBD, Mombasa Island",3&4 bedroom townhouse on going project on sale...
95,4 Bed Townhouse with En Suite in Lavington,32000000.0,Lavington,AN EXECUTIVE 4 BEDROOM TOWN HOUSE  FOR SALE IN...
96,4 Bed Townhouse with En Suite in Lavington,39000000.0,Lavington,AN EXECUTIVE  4 BEDROOM TOWN HOUSE FOR SALE IN...
97,5 Bed Townhouse with En Suite in Lavington,85000000.0,Lavington,"Spacious 5-bedroom townhouse for sale, offering..."
98,4 Bed Townhouse with En Suite in Lavington,75000000.0,Lavington,stylish and spacious 4-bedroom townhouse
99,6 Bed Villa with En Suite in Lavington,87000000.0,Lavington,New Villas in Lavington Area
100,5 Bed House with En Suite in Karen,145000000.0,Karen,5 Bedrooms for sale
101,3 Bed House with En Suite at Kitengela (Milimani),7000000.0,"Kitengela (Milimani), Kitengela",3Bedroom -Ensuite Bungalow For Sale
102,5 Bed House with En Suite in Runda,140000000.0,"Runda, Westlands",HOUSE TO LET IN RUNDA
103,5 Bed House with En Suite in Karen,150000000.0,Karen,Luxurious Mansion
104,5 Bed House with En Suite in Lavington,180000000.0,Lavington,5 Bedrooms Mansion up for Sale
105,5 Bed House with En Suite in Lower Kabete,115000000.0,"Lower Kabete, Westlands",Exclusive Standalone for Sale
106,4 Bed House with En Suite at Off Ruaka Rd,75000000.0,"4, Off Ruaka Rd, Runda, Westlands",Charming 4 Bedroom stand alone house for sale i...
107,4 Bed House with En Suite at Loresho,154000000.0,"Loresho, Westlands",CHARMING 4 BEDROOM ON O.5 ACRE FOR SALE
